"regulatory.gene" "target.gene" "weight"
"G1" "G2" 0.72950099891809
"G2" "G1" 0.666674953421167
"G1" "G7" 0.375108234911124
"G3" "G4" 0.306450388501396
"G7" "G8" 0.295748459836724
"G1" "G4" 0.291904375064494
"G2" "G3" 0.29117013561303
"G10" "G8" 0.263394006442906
"G7" "G6" 0.250139638632095
"G8" "G6" 0.227891435472985
"G10" "G9" 0.220852885973181
"G8" "G10" 0.199391700940272
"G9" "G10" 0.194533175364584
"G3" "G10" 0.187177824005217
"G8" "G3" 0.186438052023205
"G4" "G5" 0.178446417197105
"G4" "G7" 0.170656216653499
"G6" "G5" 0.167551030402322
"G3" "G9" 0.167047671890934
"G4" "G3" 0.165567318632818
"G2" "G9" 0.16029562687349
"G5" "G6" 0.129163643308602
"G7" "G1" 0.126102581691853
"G8" "G5" 0.124144680330028
"G8" "G7" 0.12239072084125
"G10" "G5" 0.119107197083951
"G6" "G9" 0.118083331621571
"G3" "G8" 0.115477728627517
"G5" "G4" 0.111181292130485
"G4" "G10" 0.110912846651704
"G1" "G5" 0.106075438392498
"G10" "G3" 0.101783672624089
"G5" "G10" 0.0977531918181603
"G4" "G1" 0.0959284463996279
"G5" "G8" 0.0953083312708715
"G9" "G5" 0.0905842328987934
"G4" "G6" 0.0891640370982088
"G7" "G4" 0.0843991108953225
"G6" "G8" 0.0826027637275368
"G9" "G3" 0.0817409137440477
"G3" "G6" 0.081388680020263
"G2" "G5" 0.0810388565981456
"G1" "G9" 0.0778681806815482
"G7" "G10" 0.0744808335657446
"G3" "G2" 0.0705729910929907
"G2" "G7" 0.0704404559805004
"G3" "G5" 0.0704382809171457
"G7" "G9" 0.0694996272467691
"G7" "G3" 0.0666595345725011
"G5" "G9" 0.066587940899989
"G10" "G6" 0.0665786649171892
"G7" "G5" 0.0626138661800122
"G9" "G2" 0.0623985823461778
"G1" "G6" 0.0623372060253388
"G9" "G7" 0.0619190442053527
"G4" "G9" 0.0610774203338408
"G2" "G4" 0.0603784305580436
"G1" "G10" 0.0596803796159461
"G8" "G9" 0.0586873144786773
"G3" "G7" 0.0581901155089334
"G6" "G7" 0.0532969496242941
"G4" "G8" 0.0531386652158054
"G10" "G7" 0.0496114415077398
"G2" "G6" 0.0480429301538489
"G6" "G3" 0.0478044027171563
"G2" "G10" 0.0457409654735953
"G9" "G6" 0.0452937643714682
"G7" "G2" 0.04395364703535
"G8" "G4" 0.0428590756845501
"G10" "G4" 0.0396934425867784
"G5" "G7" 0.0383868207673057
"G9" "G8" 0.0335530459117401
"G1" "G8" 0.0318124110121887
"G9" "G4" 0.0316391281720773
"G6" "G4" 0.0314947564068528
"G6" "G10" 0.0303290825647773
"G1" "G3" 0.0295356586723762
"G5" "G3" 0.0293003114007761
"G2" "G8" 0.0289645879547113
"G8" "G1" 0.0236826548747736
"G10" "G2" 0.0235379347159697
"G6" "G1" 0.019926676449496
"G3" "G1" 0.0188448680175534
"G4" "G2" 0.0182381523600274
"G5" "G2" 0.0179726456694449
"G5" "G1" 0.0173909869360675
"G8" "G2" 0.0172470301400035
"G6" "G2" 0.0165780177219461
"G10" "G1" 0.0162084344003314
"G9" "G1" 0.0152403978091299
