"G1"	"G2"	0.10359731
"G1"	"G3"	0.15769728
"G1"	"G4"	0.11362995
"G1"	"G5"	0.10250864
"G1"	"G6"	0.09805333
"G1"	"G7"	0.35356346
"G1"	"G8"	0.1946135
"G1"	"G9"	0.01430191
"G1"	"G10"	0.0840444
"G2"	"G1"	0.10359731
"G2"	"G3"	0.14144639
"G2"	"G4"	0.0566442
"G2"	"G5"	0.07472089
"G2"	"G6"	0.17952091
"G2"	"G7"	0.09475261
"G2"	"G8"	0.05846499
"G2"	"G9"	0.02235079
"G2"	"G10"	0.07172831
"G3"	"G1"	0.15769728
"G3"	"G2"	0.14144639
"G3"	"G4"	0.09528532
"G3"	"G5"	0.10456479
"G3"	"G6"	0.2211684
"G3"	"G7"	0.17263908
"G3"	"G8"	0.04284632
"G3"	"G9"	0.02403587
"G3"	"G10"	0.05089587
"G4"	"G1"	0.11362995
"G4"	"G2"	0.0566442
"G4"	"G3"	0.09528532
"G4"	"G5"	0.08572228
"G4"	"G6"	0.03636373
"G4"	"G7"	0.12130389
"G4"	"G8"	0.12652418
"G4"	"G9"	0.02007176
"G4"	"G10"	0.04202386
"G5"	"G1"	0.10250864
"G5"	"G2"	0.07472089
"G5"	"G3"	0.10456479
"G5"	"G4"	0.08572228
"G5"	"G6"	0.09127802
"G5"	"G7"	0.144325
"G5"	"G8"	0.03777554
"G5"	"G9"	0.0147881
"G5"	"G10"	0.03343569
"G6"	"G1"	0.09805333
"G6"	"G2"	0.17952091
"G6"	"G3"	0.2211684
"G6"	"G4"	0.03636373
"G6"	"G5"	0.09127802
"G6"	"G7"	0.2014081
"G6"	"G8"	0.04995147
"G6"	"G9"	0.00688015
"G6"	"G10"	0.05103684
"G7"	"G1"	0.35356346
"G7"	"G2"	0.09475261
"G7"	"G3"	0.17263908
"G7"	"G4"	0.12130389
"G7"	"G5"	0.144325
"G7"	"G6"	0.2014081
"G7"	"G8"	0.1539111
"G7"	"G9"	0.02469299
"G7"	"G10"	0.07499906
"G8"	"G1"	0.1946135
"G8"	"G2"	0.05846499
"G8"	"G3"	0.04284632
"G8"	"G4"	0.12652418
"G8"	"G5"	0.03777554
"G8"	"G6"	0.04995147
"G8"	"G7"	0.1539111
"G8"	"G9"	0.0194988
"G8"	"G10"	0.0457115
"G9"	"G1"	0.01430191
"G9"	"G2"	0.02235079
"G9"	"G3"	0.02403587
"G9"	"G4"	0.02007176
"G9"	"G5"	0.0147881
"G9"	"G6"	0.00688015
"G9"	"G7"	0.02469299
"G9"	"G8"	0.0194988
"G9"	"G10"	0.01329907
"G10"	"G1"	0.0840444
"G10"	"G2"	0.07172831
"G10"	"G3"	0.05089587
"G10"	"G4"	0.04202386
"G10"	"G5"	0.03343569
"G10"	"G6"	0.05103684
"G10"	"G7"	0.07499906
"G10"	"G8"	0.0457115
"G10"	"G9"	0.01329907
