G1	G9	0.645117891701584
G2	G7	0.607432851486093
G2	G9	0.577181432183579
G3	G4	0.732245598969515
G3	G9	0.53116263537045
G4	G3	0.732245598969515
G5	G6	0.679686083679214
G5	G7	0.561008539668909
G5	G8	0.608663708792519
G6	G5	0.679686083679214
G6	G7	0.627326940508563
G6	G8	0.706841276656648
G7	G2	0.607432851486093
G7	G5	0.561008539668909
G7	G6	0.627326940508563
G7	G8	0.82285673393445
G7	G9	0.630361146891847
G8	G5	0.608663708792519
G8	G6	0.706841276656648
G8	G7	0.82285673393445
G9	G1	0.645117891701584
G9	G2	0.577181432183579
G9	G3	0.53116263537045
G9	G7	0.630361146891847
