G3	G4	0.842199338556025
G4	G3	0.799926325571041
G7	G8	0.739187464325677
G8	G7	0.629456671825912
G5	G6	0.548279702943826
G9	G1	0.483265284046619
G7	G5	0.456496671501173
G1	G9	0.40178469793924
G5	G10	0.356508646556401
G9	G2	0.347635653284467
G6	G5	0.32331057888139
G7	G9	0.299793617518062
G3	G10	0.248330478374218
G10	G1	0.243383347828356
G8	G6	0.238240093822535
G5	G7	0.229112662023381
G7	G2	0.178961010794766
G1	G10	0.176485579279965
G6	G8	0.141304340678004
G6	G2	0.094179470954547
G4	G2	0.0894465578169199
G10	G3	0.0854946143470714
G8	G5	0.0822157297268042
